Sentence,Two_Entity,Predict,Label,idx
suicide bombings and guerrilla attacks carried out by [unused2] and foreign [unused2] based around baghdad have escalated to alarm ##ing levels particularly during rama ##dan . [SEP] insurgents [SEP] terrorists,"[[[unused2]], [[unused2]]]",GEN-AFF-lr,NONE,62709

[unused5] [unused2] [unused2] fear that turkish troops could move deep into the autonomous enclave in northern iraq and have threatened clashes . [SEP] iraqi [SEP] ku ##rds,"[[[unused5]], [[unused2], [unused2]]]",PHYS-rl,NONE,13408
it was the same [unused6] where a suspected al qaeda [unused2] got a death sentence last week for killing three american missionaries . [SEP] courtroom [SEP] militant,"[[[unused6]], [[unused2]]]",PHYS-rl,NONE,15201
"the united states is deploy ##ing some of iraq ' s exiles and internal [unused2] [unused2] [unused2] around the country to help root out pro - saddam [unused2] , keep order and distribute aid , according to one such organization , the iraq national congress . [SEP] di ##ssi ##dents [SEP] elements","[[[unused2], [unused2], [unused2]], [[unused2]]]",PHYS-rl,NONE,24101
these are video ##ta ##pes from the ' 80s found in a [unused6] of saddam hussein ' s first [unused2] . [SEP] palace [SEP] wife,"[[[unused6]], [[unused2]]]",PHYS-rl,NONE,36588
"also , in southern iraq today near bas ##ra , two [unused2] - claimed to be members of saddam ' s that ##ae ##en ( ph ) group surrendered to u . s . [unused2] saying that they had been ordered to carry out suicide bombings down there but that they did n ' t want to die for the regime so they were surrender ##ing . [SEP] members [SEP] troops","[[[unused2]], [[unused2]]]",PHYS-rl,NONE,59282

reporter : the fbi ' s interest in this [unused5] [unused4] in maryland dates back to last december . [SEP] state [SEP] park,"[[[unused5]], [[unused4]]]",PART-WHOLE-rl,NONE,1132
"several hours later , dozens of israeli tanks advanced into the northern gaza strip backed by [unused7] [unused7] fired at least three rockets in the ja ##bal ##iya area , palestinian security sources said . [SEP] helicopters [SEP] which","[[[unused7]], [[unused7]]]",PART-WHOLE-rl,NONE,8336
the pentagon says [unused3] of the republican guard [unused3] defending baghdad are no longer credible forces . [SEP] two [SEP] divisions,"[[[unused3]], [[unused3]]]",PART-WHOLE-rl,NONE,9540
they ' re expecting a total at this particular base near the [unused5] [unused4] of 300 sort ##ies in a 24 - hour period ending today according to the air force total from all the bases and there are more than 30 bases in 12 different countries in the middle east according to the pentagon . [SEP] iraqi [SEP] border,"[[[unused5]], [[unused4]]]",PART-WHOLE-rl,NONE,38387
the [unused5] [unused5] bombing [unused2] [unused2] [unused2] [unused2] is already serving a life term in federal prison . [SEP] oklahoma city [SEP] con ##sp ##ira ##tor,"[[[unused5], [unused5]], [[unused2], [unused2], [unused2], [unused2]]]",PART-WHOLE-rl,NONE,41903
"here are some of the fine achievements of the terrorist [unused2] [unused2] [unused2] [unused2] [unused2] [unused2] [unused2] [unused2] [unused2] [unused2] [unused2] [unused2] ( born june 6 , 1958 ) is a palestinian leader from the west bank and a leader of the fat ##ah movement that forms the backbone of the palestinian authority and the palestine liberation organization ( pl ##o ) . [SEP] mar ##wan bar ##gh ##out ##i [SEP] mar ##wan bar ##gh ##out ##i","[[[unused2], [unused2], [unused2], [unused2], [unused2], [unused2]], [[unused2], [unused2], [unused2], [unused2], [unused2], [unused2]]]",PART-WHOLE-rl,NONE,47574

"this programming note , tomorrow at noon eastern i ' ll have a special interview with the [unused5] ' s top military [unused2] , the chairman of the joint chiefs of staff . [SEP] nation [SEP] officer","[[[unused5]], [[unused2]]]",ORG-AFF-rl,NONE,19249

"i mean do you know ( un ##int ##elli ##gible ) ban ##ham i ' m not too sure but judging by some of this , [unused6] ' s been here quite a long time so whether it ' s been used recently by [unused2] - there was an intel upbeat saying that they were possibly coming back to try and get this to use against them . [SEP] it [SEP] them","[[[unused6]], [[unused2]]]",ART-rl,NONE,19400
"mil ##am grenades , [unused8] [unused8] , all sorts of ammunition abandoned by iraqi [unused2] but there for the taking . [SEP] mortar ##s [SEP] soldiers","[[[unused8], [unused8]], [[unused2]]]",ART-rl,NONE,19420
"mil ##am grenades , mortar ##s , all sorts of [unused8] abandoned by iraqi [unused2] but there for the taking . [SEP] ammunition [SEP] soldiers","[[[unused8]], [[unused2]]]",ART-rl,NONE,19429
"mil ##am [unused8] , mortar ##s , all sorts of ammunition abandoned by iraqi [unused2] but there for the taking . [SEP] grenades [SEP] soldiers","[[[unused8]], [[unused2]]]",ART-rl,NONE,19431
"i mean do you know ( un ##int ##elli ##gible ) ban ##ham i ' m not too sure but judging by some of this , it ' s been here quite a long time so whether [unused6] ' s been used recently by [unused2] - there was an intel upbeat saying that they were possibly coming back to try and get this to use against them . [SEP] it [SEP] them","[[[unused6]], [[unused2]]]",ART-rl,NONE,38597
"coming up on our next hour , u . s . forces edged toward the outskirts of baghdad and we ' ll tell you what kind of resistance they ' re fat ##ing from [unused2] [unused2] ' s elite [unused3] [unused3] . [SEP] saddam hussein [SEP] republican guard","[[[unused2], [unused2]], [[unused3], [unused3]]]",ART-rl,NONE,42404
the palestine hotel is where much of the international [unused3] [unused2] is based . [SEP] press [SEP] corps,"[[[unused3]], [[unused2]]]",ART-rl,NONE,55489

"anything other than this tram ##ples the rights of the iraqi people and will be a return to the era of colonization , ' ' said abdul aziz ha ##kim , a [unused2] of the largest iraqi shi ##ite [unused3] , the supreme council for islamic revolution in iraq . [SEP] leader [SEP] group","[[[unused2]], [[unused3]]]",GEN-AFF-rl,NONE,6048
"af ##p _ eng _ 2003 ##0 ##41 ##5 . 07 ##34 news story 2003 ##0 ##41 ##5 lebanese prime minister hari ##ri resign ##s : official statement attention - adds details , background / / / beirut , april 15 ( af ##p ) lebanese prime minister raf ##iq hari ##ri submitted his resignation tuesday and it was accepted by [unused2] [unused2] [unused2] [unused2] [unused2] , who asked him to stay on in a caretaker role , according to an official statement . [SEP] president [SEP] emile la ##ho ##ud","[[[unused2]], [[unused2], [unused2], [unused2], [unused2]]]",GEN-AFF-rl,NONE,12417
"( end video ##ta ##pe ) wood ##ruff and [unused3] ' s [unused2] [unused2] telling us earlier , significant that the shia muslim a ##yat ##oll ##ah ##s , what they did , that they were cooper ##ating with coalition and u . s . troops , saying that that will send an important signal to shia muslims throughout the country . [SEP] cnn [SEP] nic robertson","[[[unused3]], [[unused2], [unused2]]]",GEN-AFF-rl,NONE,14008
bet ` f ##ow central command chief gen . tommy franks and his field commanders face a big decision _ whether to rush into the city of 5 [unused2] [unused5] hussein ' s regime has gathered its most - trusted forces or wait and see if the war can be won without paying the price of street - to - street urban fighting . [SEP] million [SEP] where,"[[[unused2]], [[unused5]]]",GEN-AFF-rl,NONE,22038

mr . [unused2] travels next to [unused5] and he will enter middle east peace talks at middle east . [SEP] bush [SEP] egypt,"[[[unused2]], [[unused5]]]",NONE,PHYS-lr,3818
"but [unused2] [unused2] [unused2] , back in [unused5] , has breaking news - - judy . [SEP] judy wood ##ruff [SEP] washington","[[[unused2], [unused2], [unused2]], [[unused5]]]",NONE,PHYS-lr,5427
cnn _ eng _ 2003 ##0 ##32 ##8 _ 150 ##60 ##9 . 10 news story 2003 - 03 - 28 15 : 28 : 47 tense of thousands of additional u . s . troops are getting ready to join coalition [unused2] fighting the war in [unused5] . [SEP] forces [SEP] iraq,"[[[unused2]], [[unused5]]]",NONE,PHYS-lr,7265
u . s . officials believe za ##r ##qa ##wi planned the assassination of u . s . diplomat [unused2] [unused2] in [unused5] last october . [SEP] lawrence foley [SEP] jordan,"[[[unused2], [unused2]], [[unused5]]]",NONE,PHYS-lr,9988
"remember [unused2] [unused2] who lost both his arms , his home , many of his relatives in a bombing on [unused5] ? [SEP] ali abbas [SEP] baghdad","[[[unused2], [unused2]], [[unused5]]]",NONE,PHYS-lr,10603
[unused2] also deployed along the [unused4] with israel . [SEP] they [SEP] border,"[[[unused2]], [[unused4]]]",NONE,PHYS-lr,11908
"[unused2] [unused2] submitted his resignation during a 10 - minute meeting with the head of state at the ba ##ab ##da presidential [unused6] , outside the capital . [SEP] hari ##ri [SEP] palace","[[[unused2], [unused2]], [[unused6]]]",NONE,PHYS-lr,12433
"hari ##ri submitted his resignation during a 10 - minute meeting with the head of state at the ba ##ab ##da presidential [unused6] , outside the [unused5] . [SEP] palace [SEP] capital","[[[unused6]], [[unused5]]]",NONE,PHYS-lr,12445
"ap ##w _ eng _ 2003 ##0 ##31 ##1 . 07 ##75 news story 2003 ##0 ##31 ##1 turkish party leader rec ##ep tay ##yi ##p er ##dog ##an named prime minister , may push to allow in u . s . troops ankara , turkey ( ap ) the charismatic leader of turkey ' s governing party was named prime minister tuesday , a step that probably boost ##s chances that the united states will get permission to deploy [unused2] in the country along iraq ' s northern [unused4] . [SEP] troops [SEP] border","[[[unused2]], [[unused4]]]",NONE,PHYS-lr,13082
"and i often told myself - - i said that , if i ever get used to this , [unused2] should n ' t be [unused5] . [SEP] i [SEP] here","[[[unused2]], [[unused5]]]",NONE,PHYS-lr,17028
"crowley ( voice - over ) [unused2] [unused2] , cnn , [unused5] . [SEP] candy crowley [SEP] washington","[[[unused2], [unused2]], [[unused5]]]",NONE,PHYS-lr,17033
this brings to mind a speech prime minister [unused2] [unused2] gave recently while visiting [unused5] . [SEP] tony blair [SEP] iraq,"[[[unused2], [unused2]], [[unused5]]]",NONE,PHYS-lr,17664
they ' re expecting a total at this particular [unused6] near the iraqi [unused4] of 300 sort ##ies in a 24 - hour period ending today according to the air force total from all the bases and there are more than 30 bases in 12 different countries in the middle east according to the pentagon . [SEP] base [SEP] border,"[[[unused6]], [[unused4]]]",NONE,PHYS-lr,19218
"gi ##ulia ##ni , 58 , proposed to [unused2] , a former nurse , during a november business trip to [unused5] _ five months after he finalized his divorce from donna hanover after 20 years of marriage . [SEP] nathan [SEP] paris","[[[unused2]], [[unused5]]]",NONE,PHYS-lr,19571
"renowned as the world ' s first woman explorer [unused2] has reached the arctic , the [unused5] and mount everest , lee has made immense contributions toward polar exploration over the past 20 years . [SEP] who [SEP] antarctica","[[[unused2]], [[unused5]]]",NONE,PHYS-lr,19986
our next [unused2] this morning faced 100 lashes for prem ##ari ##tal sex in [unused5] . [SEP] guest [SEP] pakistan,"[[[unused2]], [[unused5]]]",NONE,PHYS-lr,21438
"so [unused2] goes down the [unused6] , and you can see once that ' s called clear , straight trigger finger , in case there ' s any sympathetic muscle tightening , there ' s no problem . [SEP] he [SEP] hallway","[[[unused2]], [[unused6]]]",NONE,PHYS-lr,22683
same thing when [unused2] come into a [unused6] . [SEP] you [SEP] building,"[[[unused2]], [[unused6]]]",NONE,PHYS-lr,22711
mccann imagine a [unused2] that is concealed anywhere in [unused6] . [SEP] person [SEP] here,"[[[unused2]], [[unused6]]]",NONE,PHYS-lr,22736
[unused2] [unused2] got a private advanced tour of the [unused6] and the diamonds . [SEP] kathleen coke [SEP] vault,"[[[unused2], [unused2]], [[unused6]]]",NONE,PHYS-lr,22921
[unused2] [unused2] returned to [unused5] [unused5] yesterday from mexico following his capture tuesday by american bo ##un ##lty hunters . [SEP] lust ##er [SEP] los angeles,"[[[unused2], [unused2]], [[unused5], [unused5]]]",NONE,PHYS-lr,26279
"ap ##w _ eng _ 2003 ##0 ##40 ##3 . 08 ##6 ##2 news story 2003 ##0 ##40 ##3 u . s . troops push toward baghdad ' s southern outskirts ; capital plunged into darkness after explosions south of baghdad , iraq ( ap ) u . s . soldiers moved to capture baghdad ' s saddam international airport early friday and fought running battles with iraqi [unused2] along the city ' s southern [unused4] [unused4] . [SEP] defenders [SEP] fringe ##s","[[[unused2]], [[unused4], [unused4]]]",NONE,PHYS-lr,29737
"cnn _ ip _ 2003 ##0 ##40 ##2 . 1600 . 00 - 3 story 2003 - 04 - 02 ##t ##16 : 00 : 00 - 05 : 00 push to baghdad begins ; pow safe in army ' s care wood ##ruff well , rescued american prisoner of war [unused2] [unused2] is expected to arrive at [unused6] [unused6] [unused6] [unused6] in germany just about an hour from now . [SEP] jessica lynch [SEP] rams ##tein air base","[[[unused2], [unused2]], [[unused6], [unused6], [unused6], [unused6]]]",NONE,PHYS-lr,32546
"renowned hollywood madam [unused2] [unused2] [unused2] [unused2] has been flown to [unused5] as guest of honour at thursday ' s market debut and , according to harris , has already played a key role in attracting worldwide media attention to the event . [SEP] heidi fl ##eis ##s [SEP] melbourne","[[[unused2], [unused2], [unused2], [unused2]], [[unused5]]]",NONE,PHYS-lr,34821
arizona does n ' t use it because one [unused2] of indians stretches into three [unused5] . [SEP] tribe [SEP] states,"[[[unused2]], [[unused5]]]",NONE,PHYS-lr,35124
probably the most annoying [unused2] on the [unused4] . [SEP] person [SEP] planet,"[[[unused2]], [[unused4]]]",NONE,PHYS-lr,35990
the most annoying [unused2] on the [unused4] . [SEP] person [SEP] planet,"[[[unused2]], [[unused4]]]",NONE,PHYS-lr,35991
no one in the british [unused2] [unused4] is willing to take any risks . [SEP] forces [SEP] here,"[[[unused2]], [[unused4]]]",NONE,PHYS-lr,38728
also one [unused2] he was afraid was going to leave the [unused5] and spill the beans on him . [SEP] friend [SEP] country,"[[[unused2]], [[unused5]]]",NONE,PHYS-lr,39381
"orders went out today to deploy 17 , 000 u . s . army [unused2] in the persian gulf [unused4] . [SEP] soldiers [SEP] region","[[[unused2]], [[unused4]]]",NONE,PHYS-lr,40075
"xi ##n _ eng _ 2003 ##0 ##6 ##10 . 02 ##9 ##9 news story 2003 ##0 ##6 ##10 us pharmaceutical company founder sentenced to 87 months in prison washington , june 10 ( xi ##nh ##ua ) [unused2] [unused2] [unused2] [unused2] , founder of the us pharmaceutical company im ##cl ##one systems was sentenced to 87 months in [unused6] tuesday for insider trading . [SEP] sam wa ##ks ##al [SEP] prison","[[[unused2], [unused2], [unused2], [unused2]], [[unused6]]]",NONE,PHYS-lr,42774
"last month in miami , a judge ordered an abortion for another severely disabled raped woman [unused2] had been living this a state - regulated [unused6] . [SEP] who [SEP] home","[[[unused2]], [[unused6]]]",NONE,PHYS-lr,42906
"u . s . defense secretary [unused2] [unused2] [unused2] [unused2] [unused2] [unused2] discussed the resolution with prime minister tony blair and defense secretary geoff ho ##on on friday as rum ##sf ##eld returned from a tour of iraq , afghanistan and the persian gulf [unused4] . [SEP] donald h . rum ##sf ##eld [SEP] region","[[[unused2], [unused2], [unused2], [unused2], [unused2], [unused2]], [[unused4]]]",NONE,PHYS-lr,46146
"during the uprising , [unused2] was arrested by israel and deported to [unused5] , where he stayed for seven years until he was permitted to return under the terms of the oslo accord ##s in 1994 . [SEP] he [SEP] jordan","[[[unused2]], [[unused5]]]",NONE,PHYS-lr,47645
"ne ##go ##tia ##tors say he demanded the release of four prisoners , including ram ##zi bin ##als ##hi ##bh , a september 11th [unused2] app ##re ##hend ##ed last year in [unused5] . [SEP] suspect [SEP] pakistan","[[[unused2]], [[unused5]]]",NONE,PHYS-lr,49714
"every 26 months , [unused4] and [unused4] fly in close orbital formation . [SEP] mars [SEP] earth","[[[unused4]], [[unused4]]]",NONE,PHYS-lr,55255
cnn _ ip _ 2003 ##0 ##40 ##9 . 1600 . 04 story 2003 - 04 - 09 ##t ##16 : 00 : 00 - 05 : 00 u . s . forces hunt for last of saddam ' s loyal fighters wood ##ruff the united states navy and coast guard [unused2] are providing port security in the [unused4] [unused4] during the iraq war . [SEP] crews [SEP] persian gulf,"[[[unused2]], [[unused4], [unused4]]]",NONE,PHYS-lr,56251
"( begin video ##ta ##pe ) dar ##yn ka ##gan , cnn correspondent ( voice - over ) it started as a story on port security , how u . s . navy and coast guard [unused2] are keeping ships safe from attack in kuwait and [unused5] . [SEP] reserves [SEP] iraq","[[[unused2]], [[unused5]]]",NONE,PHYS-lr,56316
"in 1991 , however , the u . s . congress banned this after indonesian troops killed hundreds of [unused2] in [unused5] [unused5] . [SEP] civilians [SEP] east timor","[[[unused2]], [[unused5], [unused5]]]",NONE,PHYS-lr,58542
"[unused2] and putin were scheduled to leave straight after their talks for the group of eight summit of the largest industrial ##ised nations in [unused5] [unused5] , france . [SEP] bush [SEP] ev ##ian","[[[unused2]], [[unused5], [unused5]]]",NONE,PHYS-lr,60077
"riot police intervened after the protest ##ors , who included hundreds of students from the american university in cairo , rallied on the city ' s central [unused6] [unused6] [unused6] [unused6] , close to both the university campus and the us [unused6] . [SEP] ta ##hri ##r square [SEP] embassy","[[[unused6], [unused6], [unused6], [unused6]], [[unused6]]]",NONE,PHYS-lr,60799
"it ' s sort of like a mall area , but [unused2] was hanging around a tire [unused6] . [SEP] he [SEP] shop","[[[unused2]], [[unused6]]]",NONE,PHYS-lr,64203

"[unused2] , who was ousted in a military - backed popular revolt in january 2001 , has been detained for almost two years at the [unused6] [unused6] [unused6] [unused6] in metro manila on pl ##under charges . [SEP] estrada [SEP] veterans memorial medical center","[[[unused2]], [[unused6], [unused6], [unused6], [unused6]]]",PART-WHOLE-lr,PHYS-lr,13018
"reporters saw the tanks roll into the heart of baghdad on the western [unused4] of the [unused4] [unused4] [unused4] [unused4] , which divides the city . [SEP] side [SEP] ti ##gr ##is river","[[[unused4]], [[unused4], [unused4], [unused4], [unused4]]]",PART-WHOLE-lr,PHYS-lr,23553

"in 1994 , i was a graduate [unused2] in [unused5] . [SEP] student [SEP] boston","[[[unused2]], [[unused5]]]",ORG-AFF-lr,PHYS-lr,39831

"however , two others [unused2] were [unused4] did die . [SEP] who [SEP] there","[[[unused2]], [[unused4]]]",PHYS-rl,PHYS-lr,48914

"in the country ' s southern region , british [unused2] penetrated closer to the [unused4] of bas ##ra , and warp ##lane ##s dropped 500 - pound ( 225 - ki ##logram ) and 1 , 000 - pound ( 450 - ki ##logram ) laser - guided bombs on an iraqi intelligence complex . [SEP] forces [SEP] center","[[[unused2]], [[unused4]]]",PART-WHOLE-rl,PHYS-lr,30335

"reporting live from [unused5] , [unused5] , i ' m paul ve ##rca ##mme ##n , now back to you . [SEP] martinez [SEP] california","[[[unused5]], [[unused5]]]",NONE,PART-WHOLE-lr,542

"not only is she developing the [unused6] [unused6] [unused6] [unused6] [unused6] [unused6] [unused6] [unused6] in [unused5] [unused5] [unused5] [unused5] [unused5] , and not only is she a major philanthropist , but she was a co - founder of of black entertainment television with her ex - husband robert l . johnson . [SEP] sal ##aman ##der inn & amp ; spa [SEP] fa ##u ##qui ##er county","[[[unused6], [unused6], [unused6], [unused6], [unused6], [unused6], [unused6], [unused6]], [[unused5], [unused5], [unused5], [unused5], [unused5]]]",PHYS-lr,PART-WHOLE-lr,2919
"retired lt . gen . jay garner , who will head the u . s . - led interim administration in iraq , opened the conference under a golden - colored tent in the shadows of the 4 , 000 - year - old [unused6] [unused6] [unused6] [unused6] at [unused5] , a terrace ##d temple platform of the ancient sum ##erian ##s . [SEP] z ##ig ##gur ##at [SEP] ur","[[[unused6], [unused6], [unused6], [unused6]], [[unused5]]]",PHYS-lr,PART-WHOLE-lr,5873

"professor john lee ha ##k - shan at the [unused3] [unused3] [unused3] [unused3] of [unused3] [unused3] of canada , rebecca lee lok - s ##ze , founder and director of china polar museum foundation , humphrey leung kw ##ong - wai , president & amp ; managing director of solomon sy ##ste ##ch limited , liu sing - che ##ong , founder and managing director of pearl river hang che ##ong real estate consultants ltd , and samuel wong king - on , international deputy president of the association of chartered certified accountants . [SEP] department of mechanical engineering [SEP] mcgill university","[[[unused3], [unused3], [unused3], [unused3]], [[unused3], [unused3]]]",ORG-AFF-lr,PART-WHOLE-lr,19972

"cnn _ ip _ 2003 ##0 ##40 ##2 . 1600 . 00 - 3 story 2003 - 04 - 02 ##t ##16 : 00 : 00 - 05 : 00 push to baghdad begins ; pow safe in army ' s care wood ##ruff well , rescued american prisoner of war jessica lynch is expected to arrive at [unused6] [unused6] [unused6] [unused6] in [unused5] just about an hour from now . [SEP] rams ##tein air base [SEP] germany","[[[unused6], [unused6], [unused6], [unused6]], [[unused5]]]",GEN-AFF-lr,PART-WHOLE-lr,32552

"in southern iraq today , british forces also moving closer to the [unused4] of the second largest [unused5] in iraq , bas ##ra . [SEP] center [SEP] city","[[[unused4]], [[unused5]]]",PART-WHOLE-rl,PART-WHOLE-lr,18254

"not even to [unused2] [unused2] , which is , of course , tiny . [SEP] her [SEP] staff","[[[unused2]], [[unused2]]]",NONE,PER-SOC-lr,8063
there was also one other moment there when you heard a woman asking about the safety of [unused2] [unused2] right now . [SEP] her [SEP] husband,"[[[unused2]], [[unused2]]]",NONE,PER-SOC-lr,9397
